CellID,total_sms,total_calls,total_activity
7890,1087.0048,818.4927,14711.9937
7891,1009.227,775.9515,14118.0794
7892,937.1538,743.7773,13958.4609
7893,782.0444,612.5439,10619.2971
7894,512.5797,362.1816,5904.3123
7895,401.1578,227.9167,5160.8895999999995
7896,400.725,227.308,5158.3225
7897,384.7714,214.58960000000002,4818.2107
7898,402.1731,208.45139999999998,5104.0962
7899,401.4458,208.26760000000002,5142.3899
7900,395.096,219.0802,5100.4555
7901,510.3109,406.996,5399.9357
7902,526.9236999999999,419.7651,5150.6698
7903,536.8509,433.0374,5496.6548999999995
7904,588.4404,465.996,7660.6317
7905,394.089,291.7236,6680.0892
7906,450.3041,340.7516,7347.3259
7907,461.8149,349.7246,7343.5342
7908,511.017,388.0768,7327.3133
7909,511.017,388.0768,7327.3133
7910,523.9706,397.7092,7379.6871
7911,620.6368,507.9562,7282.195
7912,646.6584,543.7064,7245.793
7913,1468.2195,358.8879,7068.2369
7914,1515.5392,382.9005,7741.2636999999995
7915,435.3299,351.2273,5598.9513
7916,373.5015,336.8853,5003.9116
7917,230.0201,213.8338,3457.9415
7918,107.6803,109.8612,2855.8909
7919,214.1239,180.9817,4539.1389
7920,239.4954,198.0138,4918.1762
7921,229.7054,205.8702,4549.2528
7922,274.593,279.6369,4943.9516
7923,200.3844,216.7413,3300.1699
7924,278.4884,306.2895,2359.563
7925,133.3241,143.5259,1040.7002
7926,49.6718,56.961999999999996,816.8031
7927,28.0124,31.6892,1056.5993
7928,26.9862,29.1016,1140.8877
7929,156.5187,133.8028,2560.8431
7930,312.76439999999997,243.7018,6657.9832
7931,352.4468,295.9993,11426.5421
7932,350.0528,295.5634,11544.7884
7933,488.2503,403.5632,10375.5186
7934,728.1600999999999,601.6688,9910.9866
7935,711.366,589.5685,9927.4037
7936,714.821,594.6298,9839.0872
7937,714.4061,698.7466,8109.9011
7938,798.2329,789.9589,9184.1491
7939,843.8131,816.6462,9900.7079
7940,848.8344,809.1084,10099.881800000001
7941,664.4135,591.9452,6902.5437999999995
7942,661.3045,583.542,6824.3958999999995
7943,682.7478,601.3835,7178.6157
7944,501.9847,470.3771,4579.3343
7945,454.585,418.32620000000003,4481.0857
7946,876.9919,539.1946,7098.8399
7947,1287.0698,580.9274,7447.4618
7948,650.2090000000001,301.745,4575.0806
7949,614.2992,513.7892,8073.3829000000005
7950,742.4602,602.9968,9622.6582
7951,956.8757,764.5135,11780.0884
7952,1609.3397,1305.6373,22658.5958
7953,1358.1975,1263.2929,19968.9373
7954,1066.7978,1118.0325,16021.4873
7955,911.7107,1068.3372,14917.0618
7956,896.1167,966.9574,12721.782
7957,781.0545,858.2828,9150.6368
7958,841.7882,871.878,8875.221
7959,627.9871,543.908,8144.3951
7960,590.8796,508.7507,8141.086
7961,590.8796,508.7507,8141.086
7962,488.1519,448.8266,6477.280299999999
7963,369.3135,377.2269,4190.0383
7964,596.1789,488.2384,8490.3239
7965,918.4273,706.8636,15410.1614
7966,878.7242,713.1255,14659.0348
7967,739.7,689.5779,12018.212800000001
7968,1076.2165,825.6996,18781.0361
7969,1608.5759,1047.5233,30419.7494
7970,1052.6553,783.6976,17072.0557
7971,863.3217999999999,795.0766,11018.0808
7972,861.5438,916.9247,13425.556199999999
7973,823.6926,1017.2674,15641.337300000001
7974,575.5237999999999,703.4714,10635.7611
7975,276.9064,283.7489,4582.5574
7976,519.878,449.9885,7271.3908
7977,582.2347,488.9875,6412.9845000000005
7978,648.5526,532.4639,6860.152
7979,735.7919,583.6181,7824.8162999999995
7980,1050.8893,746.958,11245.595000000001
7981,874.4812,647.6975,9226.1029
7982,610.4989,488.137,7559.2367
7983,610.5718,488.26570000000004,7562.8131
7984,831.4173000000001,574.6336,8538.9209
7985,2016.0853,1153.0782,15590.2847
7986,1909.0745,1182.1555,18179.7451
7987,1288.2405,904.5488,13684.8279
7988,1497.43,1041.9746,17852.8982
7989,2097.7349,1331.4155,26828.731200000002
7990,2011.3308,1281.6915000000001,25623.3073
7991,1381.3344,964.8988,18355.2536
7992,900.2444,678.1424,13717.3912
7993,824.1509,610.2648,12519.7685
7994,537.1972,399.5331,6408.2312
7995,479.32349999999997,337.83299999999997,5624.7162
7996,383.5457,226.2595,4742.7892
7997,369.7274,205.4855,4797.7981
7998,395.55199999999996,204.5818,5086.9684
7999,399.1081,208.127,5111.5947
8000,387.2162,204.12630000000001,5076.5079
8001,358.8744,275.1649,3403.4169
8002,475.9672,375.6316,4223.3895
8003,569.6315,459.54650000000004,5983.7799
8004,976.5677,484.1032,7036.3551
8005,1695.4795,418.2614,7493.271
8006,434.6171,340.45500000000004,6366.2921
8007,482.1998,409.779,7178.0808
8008,502.29720000000003,422.9888,7300.402
8009,503.4906,418.2126,7304.0842
8010,732.4553,619.3172999999999,10099.64
8011,1088.9612,955.4947999999999,15353.6891
8012,986.6601,873.1487,13959.1139
8013,991.8258999999999,519.4168999999999,8648.8531
8014,779.4237,413.2636,7475.0
8015,397.0529,318.5124,4823.434
8016,364.87919999999997,326.7537,4801.9114
8017,283.2873,256.3119,3887.6336
8018,162.2047,150.437,3231.8898
8019,228.1799,192.3424,4568.6576
8020,226.64860000000002,189.63580000000002,4540.0837
8021,264.4866,220.4656,4855.697700000001
8022,295.2304,271.8752,5333.6445
8023,288.0664,288.6933,5360.8267
8024,161.266,165.1945,2811.487
8025,69.7024,73.2761,1090.1131
8026,31.3681,33.5864,971.2043
8027,23.967299999999998,24.9826,1099.5582
8028,23.6694,24.8298,1101.9662
8029,53.5882,50.234500000000004,1711.5477
8030,323.4355,281.30719999999997,9388.1916
8031,341.9268,293.2222,10090.4778
8032,425.37149999999997,374.5356,10339.103
8033,804.1864,652.7801,11399.6757
8034,844.9927,681.9828,10456.4245
8035,734.0733,604.9009,10011.3873
8036,720.0538,592.0336,9903.8821
8037,806.6281,606.6166000000001,9307.1559
8038,778.8531,696.3514,9182.7999
8039,688.3078,522.4905,8491.539
8040,631.4737,401.084,7912.4514
8041,562.3009999999999,381.22090000000003,6136.7049
8042,653.8534,481.7142,7087.6077
8043,757.9879,517.6114,8969.7978
8044,851.2354,561.3406,10597.3474
8045,1433.0424,527.6142,9383.7099
8046,1859.7874,481.9994,7755.3167
8047,1736.6854,391.7628,5142.274
8048,1704.3099,422.9061,5482.5074
8049,1300.0388,671.0946,10822.3467
8050,967.477,764.6263,11916.6118
8051,1259.6428,1013.8364,14192.362000000001
8052,1440.9718,1187.7717,17867.9759
8053,1599.4082,1283.4387,23383.2345
8054,1663.5909000000001,1317.7558000000001,26179.557399999998
8055,1262.3492999999999,1044.7758999999999,19504.839799999998
8056,734.2842,817.6681,8826.3741
8057,734.2842,817.6681,8826.3741
8058,692.2659,742.8245000000001,8558.3436
8059,592.4552,505.80760000000004,8132.9403999999995
8060,608.1363,522.2399,8266.9711
8061,641.5263,545.3586,8479.8763
8062,602.893,519.484,7733.3749
8063,449.2172,362.6245,4874.1085
8064,787.4165,498.1554,11058.5948
8065,929.6195,612.9465,13875.5403
8066,902.2893,775.9881,13524.004
8067,835.5575,825.8786,11576.901600000001
8068,872.4278,866.7406,11671.246799999999
8069,663.5578,616.5057,12316.5488
8070,809.1083,770.2973000000001,13613.3862
8071,1183.6354000000001,1139.7847,15592.0623
8072,1202.351,1196.6776,16211.4192
8073,918.5305,1164.185,16852.7933
8074,623.4228,894.4645,11445.0189
8075,645.3567,558.5928,8610.4782
8076,1120.0441,861.9836,13440.9687
8077,667.1030000000001,545.8447,6920.8947
8078,649.0752,540.5235,6952.1927
8079,858.9744,761.7633999999999,11502.7569
8080,1170.2176,936.4774,14871.7052
8081,952.8353999999999,726.9150999999999,10756.8962
8082,680.8722,571.9778,9560.6561
8083,669.0569,583.681,10072.8876
8084,1094.3691,1035.6992,18332.0024
8085,1453.4047,1252.4934,19087.076399999998
8086,1385.9915,1119.8772,15323.3598
8087,1210.3872000000001,885.3814,10882.3774
8088,1300.4026000000001,1005.8081000000001,17107.7663
8089,1622.2145,1208.1444000000001,23458.3813
8090,2073.9527000000003,1322.0034,26694.8472
8091,1611.0227,1053.9994,20958.704
8092,910.7782,633.2505,13500.1267
8093,857.8974999999999,611.938,13398.5052
8094,819.1078,588.4417,12721.2957
8095,573.2967,423.7233,7216.6404
8096,474.851,350.3176,5391.5415
8097,354.8977,237.5277,5111.4244
8098,403.8269,266.539,5243.88
8099,394.3929,253.5652,5389.6515
8100,277.6724,166.6038,4640.0771
8101,427.8822,336.27250000000004,3439.1282
8102,364.4348,284.2961,2954.9132
8103,403.55199999999996,318.878,3818.0579
8104,630.5794,476.3595,6698.4073
8105,701.6434,478.0423,6466.436900000001
8106,557.6549,449.1474,6026.9183
8107,490.0589,422.05559999999997,6460.1155
8108,503.85450000000003,456.4051,7292.9276
8109,498.674,454.3267,7284.323
8110,528.4973,477.72249999999997,7411.8156
8111,735.0106000000001,656.279,10202.6112
